scene,speaker
31,Dwight
31,Jim
31,Dwight
31,Jim
32,Everybody
32,Meredith
32,Angela
32,Michael
32,Everybody
32,Michael
32,Everybody
33,Jim
33,Dwight
33,Jim
34,Dwight
35,Everybody
35,Michael
36,Stanley
36,Michael
36,Meredith
36,Michael
36,Meredith
36,Michael
36,Meredith
36,Michael
36,Meredith
36,Michael
37,Pam
37,Jim
38,Pam
38,Dwight
39,Michael
39,Jim
39,Michael
39,Jim
39,Michael
40,Michael
40,Oscar
40,Michael
40,Oscar
40,Michael
40,Oscar
40,Michael
40,Oscar
40,Michael
40,Oscar
40,Michael
41,Pam
41,Michael
41,Meredith
41,Michael
41,Meredith
41,Michael
41,Meredith
41,Michael
41,Meredith
41,Michael
41,Meredith
41,Michael
41,Oscar
41,Michael
41,Everybody
41,Michael
41,Michael
41,Oscar
41,Michael
41,Angela
41,Phyllis
41,Michael
41,Oscar
41,Michael
42,Michael
43,Michael
44,Michael
45,Oscar
45,Michael
46,Toby
46,Ryan
46,Toby
46,Ryan
46,Toby
46,Ryan
47,Jim
47,Pam
47,Jim
47,Jim
47,Pam
47,Jim
47,Roy
47,Jim
47,Pam
47,Jim
47,Pam
47,Jim
47,Pam
47,Jim
47,Roy
47,Dwight
47,Roy
48,Dwight
48,Dwight
49,Dwight
49,Jim
49,Dwight
49,Jim
49,Dwight
49,Jim
49,Dwight
49,Jim
49,Dwight
50,Pam
50,Michael
50,Pam
50,Michael
50,Pam
50,Michael
50,Pam
50,Michael
50,Pam
50,Michael
50,Pam
50,Michael
50,Pam
50,Michael
50,Pam
50,Michael
50,Pam
50,Michael
50,Pam
50,Michael
50,Pam
50,Michael
50,Pam
50,Michael
50,Pam
50,Michael
50,Pam
50,Michael
51,Dwight
51,Jim
51,Dwight
51,Jim
51,Dwight
51,Jim
51,Dwight
51,Jim
51,Dwight
51,Jim
51,Dwight
52,Angela
52,Oscar
52,Angela
53,Jim
53,Dwight
53,Jim
53,Dwight
53,Jim
53,Dwight
53,Jim
54,Michael
54,Toby
54,Michael
54,Toby
54,Michael
54,Toby
54,Michael
55,Jim
56,Dwight
56,Michael
56,Dwight
56,Michael
56,Dwight
56,Michael
56,Dwight
56,Michael
56,Dwight
56,Michael
56,Dwight
56,Michael
56,Dwight
56,Michael
56,Dwight
56,Michael
56,Dwight
56,Michael
56,Dwight
56,Michael
56,Dwight
56,Michael
57,Michael
57,Meredith
57,Michael
58,Michael
58,Oscar
58,Michael
58,Oscar
58,Michael
58,Oscar
58,Michael
58,Oscar
59,Meredith
59,Michael
59,Meredith
59,Michael
59,Meredith
59,Michael
59,Oscar
59,Michael
59,Everybody
59,Michael
59,Michael
